band, channel, owanova_F, owanova_p, kruskal_F, kruskal_p
beta, F5, 0.5252654757650592, 0.46863555958720027, 0.03182372194798953, 0.8584150957718177
beta, F3, 0.5675967252746877, 0.4512483181556829, 0.06020680991873085, 0.8061693671354164
beta, F1, 0.839551155240107, 0.35956605823719334, 0.0580035603246487, 0.8096796819910161
beta, Fz, 1.4612507382677664, 0.22678410774779745, 0.570256351960209, 0.450157066929211
beta, F2, 0.3707261548996534, 0.5426343106457979, 0.0871119233472867, 0.7678813649698457
beta, F4, 1.1329780184981204, 0.2871885698842409, 2.625821622374896, 0.10513806952412554
beta, F6, 0.032091728009577526, 0.8578332008551568, 0.12896684753936036, 0.7195056608263843
beta, F8, 0.49064255854395133, 0.48367096907228013, 0.1671247428185092, 0.682679884569035
beta, FT7, 0.10566143361841396, 0.7451512367437487, 1.5801724958150412, 0.20873584861751684
beta, FC5, 0.5692264301224403, 0.45059935164483744, 0.5311253720967709, 0.46613411363704027
beta, FC3, 0.34203138727751026, 0.5586834231370935, 0.4810254307827962, 0.48795820542143475
beta, FC1, 0.9404184474976336, 0.3322136511037196, 0.044650332923317416, 0.8326483032214684
beta, FCz, 0.1310466921324337, 0.7173634061301768, 0.1096867904076067, 0.7405010025455012
beta, FC2, 0.0012027075366523156, 0.9723361308094753, 0.3892042551914882, 0.5327179757612309
beta, FC4, 0.22599300730512017, 0.6345302169723184, 0.0499122630326246, 0.8232160129511688
beta, FC6, 0.37094959961796853, 0.5425127117948458, 1.1498551891810957, 0.2835794656414914
beta, FT8, 1.0965097483869448, 0.29508017859864755, 0.6415723485797807, 0.4231419998877535
beta, T7, 4.146683864936329, 0.041764802484983814, 2.005918134791271, 0.15668640207714166
beta, C5, 0.2186297669671179, 0.640104810350417, 0.0005552470083097107, 0.9812006433784983
beta, C3, 0.7240522890761245, 0.39485559451610075, 0.8245809543742427, 0.3638441978793664
beta, C1, 0.8028513503404185, 0.37028213812711963, 0.7512698558534914, 0.38607448448698756
beta, Cz, 0.004073008379360845, 0.9491158137811765, 0.1896384152893165, 0.6632177318190215
beta, C2, 0.009819719313745173, 0.9210669169226272, 0.1535265233128484, 0.6951878115456652
beta, C4, 0.055114600977978816, 0.8144000360048834, 0.46629602075552207, 0.49469612559218856
beta, C6, 0.026545497582935212, 0.8705813026516455, 0.03824005954638423, 0.844961884319184
beta, T8, 11.148655950047624, 0.0008466181606696393, 4.581683269908205, 0.03231545531935061
beta, TP7, 5.2793437861269865, 0.021617906518974515, 3.3932595357323456, 0.0654634166847013
beta, CP5, 0.08236464070284825, 0.7741291384766118, 0.5403484626730053, 0.46228834810438835
beta, CP3, 3.944998636187207, 0.047061328284056514, 3.0758269392442394, 0.07946417226611627
beta, CP1, 0.39350426337012884, 0.5304896421293644, 0.3342133463615423, 0.563188586542462
beta, CPz, 0.5362564578030304, 0.46402008393470706, 0.16363055943635899, 0.6858357089822702
beta, CP2, 1.2360017986898977, 0.26629245569502313, 0.5597106508804697, 0.45437684920919863
beta, CP4, 0.2576068139899897, 0.6117898060534563, 0.07464545262694294, 0.7846893337641192
beta, CP6, 0.3209935524191928, 0.5710346959570876, 0.8482185711908868, 0.35705678426526444
beta, TP8, 0.30744352666068, 0.5792761382626628, 0.3475943043157062, 0.5554781053058364
beta, P7, 2.510911104133036, 0.11311906176780426, 0.5007824402607104, 0.47915652635363615
beta, P5, 0.05303287911225581, 0.8178761679972901, 0.013713304769705522, 0.9067777822683121
beta, P3, 0.6676191111461702, 0.41391894619763336, 1.2497737033771168, 0.2635957031097357
beta, P1, 0.09344366722388682, 0.7598558360775755, 0.17767447025715727, 0.673379428278475
beta, Pz, 1.248488953714186, 0.26389094829803506, 0.798767543764536, 0.3714621092959518
beta, P2, 0.9594917630761929, 0.32735880976498466, 0.7899134740722819, 0.37412629031853495
beta, P4, 0.07674441117858036, 0.7817693427245209, 0.15338997339098664, 0.6953166019124857
beta, P6, 3.299526727786627, 0.06935522513595277, 4.964783796587861, 0.025868548845076025
beta, P8, 4.4004646010520485, 0.035975470469572, 5.370451368092351, 0.02048067708085439
beta, PO7, 3.2288055039647743, 0.0724092646608369, 1.7005126328809737, 0.1922209495589163
beta, PO3, 0.05116284167618661, 0.8210606111274825, 4.301566166398109e-06, 0.9983451712635074
